No,TestSize,Precision,Recall,Accuracy,F1,Model
241,0.4,0.9944037882049075,0.9944037882049075,0.99352105656616,0.9944037882049075,knn
242,0.4,0.676159718144451,0.9913904433921653,0.7201594816845253,0.8039797521382439,lr
243,0.4,0.8374188896899784,1.0,0.8876152504360827,0.9115165783794389,lsvc
244,0.4,0.8571955719557196,1.0,0.903563418888612,0.9231074905622889,svc
245,0.4,0.9991289198606271,0.9875161429186397,0.9922751059058061,0.9932885906040267,dt
246,0.4,1.0,1.0,1.0,1.0,rf
247,0.4,0.9995693367786391,0.9991390443392165,0.9992524296037877,0.9993541442411196,gb
248,0.4,0.906832298136646,0.6284976323719328,0.74757039621231,0.7424357996440376,gnb
249,0.4,0.7601947656725502,0.5376668101592768,0.6341888861201096,0.6298537569339384,bnb
250,0.4,0.8820732287208749,0.7985363753766681,0.8215798654373286,0.8382286488929055,mnb
251,0.4,0.8478181151448478,0.995264743865691,0.893845003737852,0.9156435643564357,lstm
252,0.4,0.5788686768003987,1.0,0.5788686768003987,0.733270202020202,cnn
253,0.2,0.9965811965811966,0.9931856899488927,0.9940209267563528,0.9948805460750852,knn
254,0.2,0.6852286049237983,0.995741056218058,0.7299451918285998,0.8118055555555556,lr
255,0.2,0.8739837398373984,0.9156729131175468,0.8734429496761336,0.8943427620632279,lsvc
256,0.2,0.8664206642066421,1.0,0.9098156452416543,0.9284302095689996,svc
257,0.2,0.9982788296041308,0.9880749574105622,0.9920279023418037,0.9931506849315068,dt
258,0.2,1.0,1.0,1.0,1.0,rf
259,0.2,1.0,0.9991482112436116,0.9995017438963627,0.9995739241585002,gb
260,0.2,0.9002493765586035,0.6149914821124361,0.7349277528649726,0.7307692307692308,gnb
261,0.2,0.7758830694275274,0.5425894378194208,0.6407573492775287,0.63859649122807,bnb
262,0.2,0.8954937679769894,0.7955706984667802,0.8261086198305929,0.8425800631483986,mnb
263,0.2,0.8742762613730356,0.9003407155025553,0.8659691081215745,0.8871170793117918,lstm
264,0.2,0.5849526656701545,1.0,0.5849526656701545,0.7381326626846904,cnn
265,0.3,0.9925501432664756,0.9931192660550459,0.9916943521594684,0.9928346231011752,knn
266,0.3,0.676171875,0.992545871559633,0.720265780730897,0.8043680297397768,lr
267,0.3,0.8396726047183438,1.0,0.8893687707641196,0.9128500392567391,lsvc
268,0.3,0.8633663366336634,1.0,0.9083056478405316,0.9266737513283742,svc
269,0.3,0.998840579710145,0.9879587155963303,0.992358803986711,0.9933698472182185,dt
270,0.3,1.0,0.9994266055045872,0.9996677740863787,0.9997132205334098,rf
271,0.3,1.0,0.9988532110091743,0.9993355481727575,0.9994262765347103,gb
272,0.3,0.9066115702479339,0.6290137614678899,0.7475083056478405,0.7427217332430603,gnb
273,0.3,0.7599351175993512,0.5372706422018348,0.6335548172757475,0.6294927779643937,bnb
274,0.3,0.8908268733850129,0.7907110091743119,0.8225913621262458,0.8377885783718104,mnb
275,0.3,0.8557312252964426,0.9931192660550459,0.8990033222591363,0.9193205944798302,lstm
276,0.3,0.5794019933554817,1.0,0.5794019933554817,0.7336979385780396,cnn
277,0.4,0.9944037882049075,0.9944037882049075,0.99352105656616,0.9944037882049075,knn
278,0.4,0.676159718144451,0.9913904433921653,0.7201594816845253,0.8039797521382439,lr
279,0.4,0.913491246138002,0.7636676711149376,0.8213306753052579,0.8318874560375147,lsvc
280,0.4,0.8571955719557196,1.0,0.903563418888612,0.9231074905622889,svc
281,0.4,0.9991289198606271,0.9875161429186397,0.9922751059058061,0.9932885906040267,dt
282,0.4,1.0,1.0,1.0,1.0,rf
283,0.4,0.9995693367786391,0.9991390443392165,0.9992524296037877,0.9993541442411196,gb
284,0.4,0.906832298136646,0.6284976323719328,0.74757039621231,0.7424357996440376,gnb
285,0.4,0.7601947656725502,0.5376668101592768,0.6341888861201096,0.6298537569339384,bnb
286,0.4,0.8820732287208749,0.7985363753766681,0.8215798654373286,0.8382286488929055,mnb
287,0.4,0.8314244810307803,1.0,0.8826314477946673,0.907953879226109,lstm
288,0.4,0.5788686768003987,1.0,0.5788686768003987,0.733270202020202,cnn
289,0.2,0.9965811965811966,0.9931856899488927,0.9940209267563528,0.9948805460750852,knn
290,0.2,0.6852286049237983,0.995741056218058,0.7299451918285998,0.8118055555555556,lr
291,0.2,0.876120619396903,0.9156729131175468,0.8749377179870453,0.8954602249062891,lsvc
292,0.2,0.8664206642066421,1.0,0.9098156452416543,0.9284302095689996,svc
293,0.2,0.9982788296041308,0.9880749574105622,0.9920279023418037,0.9931506849315068,dt
294,0.2,1.0,1.0,1.0,1.0,rf
295,0.2,1.0,0.9991482112436116,0.9995017438963627,0.9995739241585002,gb
296,0.2,0.9002493765586035,0.6149914821124361,0.7349277528649726,0.7307692307692308,gnb
297,0.2,0.7758830694275274,0.5425894378194208,0.6407573492775287,0.63859649122807,bnb
298,0.2,0.8954937679769894,0.7955706984667802,0.8261086198305929,0.8425800631483986,mnb
299,0.2,0.875,0.9003407155025553,0.8664673642252118,0.8874895046179682,lstm
300,0.2,0.5849526656701545,1.0,0.5849526656701545,0.7381326626846904,cnn
301,0.3,0.9925501432664756,0.9931192660550459,0.9916943521594684,0.9928346231011752,knn
302,0.3,0.676171875,0.992545871559633,0.720265780730897,0.8043680297397768,lr
303,0.3,0.8614130434782609,0.9088302752293578,0.8624584717607974,0.8844866071428571,lsvc
304,0.3,0.8633663366336634,1.0,0.9083056478405316,0.9266737513283742,svc
305,0.3,0.998840579710145,0.9879587155963303,0.992358803986711,0.9933698472182185,dt
306,0.3,1.0,0.9994266055045872,0.9996677740863787,0.9997132205334098,rf
307,0.3,1.0,0.9988532110091743,0.9993355481727575,0.9994262765347103,gb
308,0.3,0.9066115702479339,0.6290137614678899,0.7475083056478405,0.7427217332430603,gnb
309,0.3,0.7599351175993512,0.5372706422018348,0.6335548172757475,0.6294927779643937,bnb
310,0.3,0.8908268733850129,0.7907110091743119,0.8225913621262458,0.8377885783718104,mnb
311,0.3,0.840887174541948,1.0,0.8903654485049833,0.9135673127291776,lstm
312,0.3,0.5794019933554817,1.0,0.5794019933554817,0.7336979385780396,cnn
313,0.4,0.9944037882049075,0.9944037882049075,0.99352105656616,0.9944037882049075,knn
314,0.4,0.676159718144451,0.9913904433921653,0.7201594816845253,0.8039797521382439,lr
315,0.4,0.9095048377916903,0.6879035729659922,0.7797159232494393,0.7833333333333332,lsvc
316,0.4,0.8571955719557196,1.0,0.903563418888612,0.9231074905622889,svc
317,0.4,0.9991289198606271,0.9875161429186397,0.9922751059058061,0.9932885906040267,dt
318,0.4,1.0,1.0,1.0,1.0,rf
319,0.4,0.9995693367786391,0.9991390443392165,0.9992524296037877,0.9993541442411196,gb
320,0.4,0.906832298136646,0.6284976323719328,0.74757039621231,0.7424357996440376,gnb
321,0.4,0.7601947656725502,0.5376668101592768,0.6341888861201096,0.6298537569339384,bnb
322,0.4,0.8820732287208749,0.7985363753766681,0.8215798654373286,0.8382286488929055,mnb
323,0.4,0.8650892486508925,0.8971157985363754,0.8594567655120857,0.8808114961961115,lstm
324,0.4,0.5788686768003987,1.0,0.5788686768003987,0.733270202020202,cnn
325,0.2,0.9965811965811966,0.9931856899488927,0.9940209267563528,0.9948805460750852,knn
326,0.2,0.6852286049237983,0.995741056218058,0.7299451918285998,0.8118055555555556,lr
327,0.2,0.876120619396903,0.9156729131175468,0.8749377179870453,0.8954602249062891,lsvc
328,0.2,0.8664206642066421,1.0,0.9098156452416543,0.9284302095689996,svc
329,0.2,0.9982788296041308,0.9880749574105622,0.9920279023418037,0.9931506849315068,dt
330,0.2,1.0,1.0,1.0,1.0,rf
331,0.2,1.0,0.9991482112436116,0.9995017438963627,0.9995739241585002,gb
332,0.2,0.9002493765586035,0.6149914821124361,0.7349277528649726,0.7307692307692308,gnb
333,0.2,0.7758830694275274,0.5425894378194208,0.6407573492775287,0.63859649122807,bnb
334,0.2,0.8954937679769894,0.7955706984667802,0.8261086198305929,0.8425800631483986,mnb
335,0.2,0.8590308370044053,0.9965928449744463,0.9023418036870952,0.9227129337539433,lstm
336,0.2,0.5849526656701545,1.0,0.5849526656701545,0.7381326626846904,cnn
337,0.3,0.9925501432664756,0.9931192660550459,0.9916943521594684,0.9928346231011752,knn
338,0.3,0.676171875,0.992545871559633,0.720265780730897,0.8043680297397768,lr
339,0.3,0.8781163434903048,0.9088302752293578,0.8740863787375416,0.8932093547478163,lsvc
340,0.3,0.8633663366336634,1.0,0.9083056478405316,0.9266737513283742,svc
341,0.3,0.998840579710145,0.9879587155963303,0.992358803986711,0.9933698472182185,dt
342,0.3,1.0,0.9994266055045872,0.9996677740863787,0.9997132205334098,rf
343,0.3,1.0,0.9988532110091743,0.9993355481727575,0.9994262765347103,gb
344,0.3,0.9066115702479339,0.6290137614678899,0.7475083056478405,0.7427217332430603,gnb
345,0.3,0.7599351175993512,0.5372706422018348,0.6335548172757475,0.6294927779643937,bnb
346,0.3,0.8908268733850129,0.7907110091743119,0.8225913621262458,0.8377885783718104,mnb
347,0.3,0.8560830860534124,0.992545871559633,0.8990033222591363,0.9192777482740307,lstm
348,0.3,0.5794019933554817,1.0,0.5794019933554817,0.7336979385780396,cnn
349,0.4,0.9944037882049075,0.9944037882049075,0.99352105656616,0.9944037882049075,knn
350,0.4,0.676159718144451,0.9913904433921653,0.7201594816845253,0.8039797521382439,lr
351,0.4,0.8613020622725435,0.9169177787343952,0.8664340892100673,0.8882402001668056,lsvc
352,0.4,0.8571955719557196,1.0,0.903563418888612,0.9231074905622889,svc
353,0.4,0.9991289198606271,0.9875161429186397,0.9922751059058061,0.9932885906040267,dt
354,0.4,1.0,1.0,1.0,1.0,rf
355,0.4,0.9995693367786391,0.9991390443392165,0.9992524296037877,0.9993541442411196,gb
356,0.4,0.906832298136646,0.6284976323719328,0.74757039621231,0.7424357996440376,gnb
357,0.4,0.7601947656725502,0.5376668101592768,0.6341888861201096,0.6298537569339384,bnb
358,0.4,0.8820732287208749,0.7985363753766681,0.8215798654373286,0.8382286488929055,mnb
359,0.4,0.8548931383577053,0.9814894532931554,0.8928482432095689,0.9138276553106213,lstm
360,0.4,0.5788686768003987,1.0,0.5788686768003987,0.733270202020202,cnn
361,0.2,0.9965811965811966,0.9931856899488927,0.9940209267563528,0.9948805460750852,knn
362,0.2,0.6852286049237983,0.995741056218058,0.7299451918285998,0.8118055555555556,lr
363,0.2,0.8811475409836066,0.9156729131175468,0.8784255107125062,0.898078529657477,lsvc
364,0.2,0.8664206642066421,1.0,0.9098156452416543,0.9284302095689996,svc
365,0.2,0.9982788296041308,0.9880749574105622,0.9920279023418037,0.9931506849315068,dt
366,0.2,1.0,1.0,1.0,1.0,rf
367,0.2,1.0,0.9991482112436116,0.9995017438963627,0.9995739241585002,gb
368,0.2,0.9002493765586035,0.6149914821124361,0.7349277528649726,0.7307692307692308,gnb
369,0.2,0.7758830694275274,0.5425894378194208,0.6407573492775287,0.63859649122807,bnb
370,0.2,0.8954937679769894,0.7955706984667802,0.8261086198305929,0.8425800631483986,mnb
371,0.2,0.8409742120343839,1.0,0.8893871449925261,0.9136186770428015,lstm
372,0.2,0.5849526656701545,1.0,0.5849526656701545,0.7381326626846904,cnn
373,0.3,0.9925501432664756,0.9931192660550459,0.9916943521594684,0.9928346231011752,knn
374,0.3,0.676171875,0.992545871559633,0.720265780730897,0.8043680297397768,lr
375,0.3,1.0,0.43520642201834864,0.6727574750830565,0.606472233320016,lsvc
376,0.3,0.8633663366336634,1.0,0.9083056478405316,0.9266737513283742,svc
377,0.3,0.998840579710145,0.9879587155963303,0.992358803986711,0.9933698472182185,dt
378,0.3,1.0,0.9994266055045872,0.9996677740863787,0.9997132205334098,rf
379,0.3,1.0,0.9988532110091743,0.9993355481727575,0.9994262765347103,gb
380,0.3,0.9066115702479339,0.6290137614678899,0.7475083056478405,0.7427217332430603,gnb
381,0.3,0.7599351175993512,0.5372706422018348,0.6335548172757475,0.6294927779643937,bnb
382,0.3,0.8908268733850129,0.7907110091743119,0.8225913621262458,0.8377885783718104,mnb
383,0.3,0.8529990167158309,0.9948394495412844,0.8976744186046511,0.9184753838009528,lstm
384,0.3,0.5794019933554817,1.0,0.5794019933554817,0.7336979385780396,cnn
385,0.4,0.9944037882049075,0.9944037882049075,0.99352105656616,0.9944037882049075,knn
386,0.4,0.676159718144451,0.9913904433921653,0.7201594816845253,0.8039797521382439,lr
387,0.4,0.9517884914463453,0.5269048643994835,0.7106902566658361,0.6783042394014963,lsvc
388,0.4,0.8571955719557196,1.0,0.903563418888612,0.9231074905622889,svc
389,0.4,0.9991289198606271,0.9875161429186397,0.9922751059058061,0.9932885906040267,dt
390,0.4,1.0,1.0,1.0,1.0,rf
391,0.4,0.9995693367786391,0.9991390443392165,0.9992524296037877,0.9993541442411196,gb
392,0.4,0.906832298136646,0.6284976323719328,0.74757039621231,0.7424357996440376,gnb
393,0.4,0.7601947656725502,0.5376668101592768,0.6341888861201096,0.6298537569339384,bnb
394,0.4,0.8820732287208749,0.7985363753766681,0.8215798654373286,0.8382286488929055,mnb
395,0.4,0.8475632099670208,0.9956952216960826,0.893845003737852,0.9156769596199524,lstm
396,0.4,0.5788686768003987,1.0,0.5788686768003987,0.733270202020202,cnn
397,0.2,0.9965811965811966,0.9931856899488927,0.9940209267563528,0.9948805460750852,knn
398,0.2,0.6852286049237983,0.995741056218058,0.7299451918285998,0.8118055555555556,lr
399,0.2,0.8711507293354943,0.9156729131175468,0.8714499252615845,0.8928571428571429,lsvc
400,0.2,0.8664206642066421,1.0,0.9098156452416543,0.9284302095689996,svc
401,0.2,0.9982788296041308,0.9880749574105622,0.9920279023418037,0.9931506849315068,dt
402,0.2,1.0,1.0,1.0,1.0,rf
403,0.2,1.0,0.9991482112436116,0.9995017438963627,0.9995739241585002,gb
404,0.2,0.9002493765586035,0.6149914821124361,0.7349277528649726,0.7307692307692308,gnb
405,0.2,0.7758830694275274,0.5425894378194208,0.6407573492775287,0.63859649122807,bnb
406,0.2,0.8954937679769894,0.7955706984667802,0.8261086198305929,0.8425800631483986,mnb
407,0.2,0.8427853553481695,1.0,0.890881913303438,0.9146864043630698,lstm
408,0.2,0.5849526656701545,1.0,0.5849526656701545,0.7381326626846904,cnn
409,0.3,0.9925501432664756,0.9931192660550459,0.9916943521594684,0.9928346231011752,knn
410,0.3,0.676171875,0.992545871559633,0.720265780730897,0.8043680297397768,lr
411,0.3,0.9221374045801527,0.6926605504587156,0.7880398671096346,0.7910936476751801,lsvc
412,0.3,0.8633663366336634,1.0,0.9083056478405316,0.9266737513283742,svc
413,0.3,0.998840579710145,0.9879587155963303,0.992358803986711,0.9933698472182185,dt
414,0.3,1.0,0.9994266055045872,0.9996677740863787,0.9997132205334098,rf
415,0.3,1.0,0.9988532110091743,0.9993355481727575,0.9994262765347103,gb
416,0.3,0.9066115702479339,0.6290137614678899,0.7475083056478405,0.7427217332430603,gnb
417,0.3,0.7599351175993512,0.5372706422018348,0.6335548172757475,0.6294927779643937,bnb
418,0.3,0.8908268733850129,0.7907110091743119,0.8225913621262458,0.8377885783718104,mnb
419,0.3,0.8494885533365806,1.0,0.8973421926910299,0.9186199631287859,lstm
420,0.3,0.5794019933554817,1.0,0.5794019933554817,0.7336979385780396,cnn
421,0.4,0.9944037882049075,0.9944037882049075,0.99352105656616,0.9944037882049075,knn
422,0.4,0.676159718144451,0.9913904433921653,0.7201594816845253,0.8039797521382439,lr
423,0.4,0.8751027115858668,0.9169177787343952,0.8761525043608274,0.8955223880597014,lsvc
424,0.4,0.8571955719557196,1.0,0.903563418888612,0.9231074905622889,svc
425,0.4,0.9991289198606271,0.9875161429186397,0.9922751059058061,0.9932885906040267,dt
426,0.4,1.0,1.0,1.0,1.0,rf
427,0.4,0.9995693367786391,0.9991390443392165,0.9992524296037877,0.9993541442411196,gb
428,0.4,0.906832298136646,0.6284976323719328,0.74757039621231,0.7424357996440376,gnb
429,0.4,0.7601947656725502,0.5376668101592768,0.6341888861201096,0.6298537569339384,bnb
430,0.4,0.8820732287208749,0.7985363753766681,0.8215798654373286,0.8382286488929055,mnb
431,0.4,0.8540419161676647,0.9823504089539389,0.8925990530774981,0.9137137137137138,lstm
432,0.4,0.5788686768003987,1.0,0.5788686768003987,0.733270202020202,cnn
433,0.2,0.9965811965811966,0.9931856899488927,0.9940209267563528,0.9948805460750852,knn
434,0.2,0.6852286049237983,0.995741056218058,0.7299451918285998,0.8118055555555556,lr
435,0.2,0.9352941176470588,0.6771720613287905,0.783756851021425,0.7855731225296443,lsvc
436,0.2,0.8664206642066421,1.0,0.9098156452416543,0.9284302095689996,svc
437,0.2,0.9982788296041308,0.9880749574105622,0.9920279023418037,0.9931506849315068,dt
438,0.2,1.0,1.0,1.0,1.0,rf
439,0.2,1.0,0.9991482112436116,0.9995017438963627,0.9995739241585002,gb
440,0.2,0.9002493765586035,0.6149914821124361,0.7349277528649726,0.7307692307692308,gnb
441,0.2,0.7758830694275274,0.5425894378194208,0.6407573492775287,0.63859649122807,bnb
442,0.2,0.8954937679769894,0.7955706984667802,0.8261086198305929,0.8425800631483986,mnb
443,0.2,0.862094395280236,0.995741056218058,0.9043348281016442,0.924110671936759,lstm
444,0.2,0.5849526656701545,1.0,0.5849526656701545,0.7381326626846904,cnn
445,0.3,0.9925501432664756,0.9931192660550459,0.9916943521594684,0.9928346231011752,knn
446,0.3,0.676171875,0.992545871559633,0.720265780730897,0.8043680297397768,lr
447,0.3,0.8727973568281938,0.9088302752293578,0.8704318936877077,0.8904494382022472,lsvc
448,0.3,0.8633663366336634,1.0,0.9083056478405316,0.9266737513283742,svc
449,0.3,0.998840579710145,0.9879587155963303,0.992358803986711,0.9933698472182185,dt
450,0.3,1.0,0.9994266055045872,0.9996677740863787,0.9997132205334098,rf
451,0.3,1.0,0.9988532110091743,0.9993355481727575,0.9994262765347103,gb
452,0.3,0.9066115702479339,0.6290137614678899,0.7475083056478405,0.7427217332430603,gnb
453,0.3,0.7599351175993512,0.5372706422018348,0.6335548172757475,0.6294927779643937,bnb
454,0.3,0.8908268733850129,0.7907110091743119,0.8225913621262458,0.8377885783718104,mnb
455,0.3,0.8529411764705882,0.9977064220183486,0.8990033222591363,0.919661733615222,lstm
456,0.3,0.5794019933554817,1.0,0.5794019933554817,0.7336979385780396,cnn
457,0.4,0.9944037882049075,0.9944037882049075,0.99352105656616,0.9944037882049075,knn
458,0.4,0.676159718144451,0.9913904433921653,0.7201594816845253,0.8039797521382439,lr
459,0.4,0.8571428571428571,0.9169177787343952,0.863443807625218,0.8860232945091514,lsvc
460,0.4,0.8571955719557196,1.0,0.903563418888612,0.9231074905622889,svc
461,0.4,0.9991289198606271,0.9875161429186397,0.9922751059058061,0.9932885906040267,dt
462,0.4,1.0,1.0,1.0,1.0,rf
463,0.4,0.9995693367786391,0.9991390443392165,0.9992524296037877,0.9993541442411196,gb
464,0.4,0.906832298136646,0.6284976323719328,0.74757039621231,0.7424357996440376,gnb
465,0.4,0.7601947656725502,0.5376668101592768,0.6341888861201096,0.6298537569339384,bnb
466,0.4,0.8820732287208749,0.7985363753766681,0.8215798654373286,0.8382286488929055,mnb
467,0.4,0.8540419161676647,0.9823504089539389,0.8925990530774981,0.9137137137137138,lstm
468,0.4,0.5788686768003987,1.0,0.5788686768003987,0.733270202020202,cnn
469,0.2,0.9965811965811966,0.9931856899488927,0.9940209267563528,0.9948805460750852,knn
470,0.2,0.6852286049237983,0.995741056218058,0.7299451918285998,0.8118055555555556,lr
471,0.2,0.8782679738562091,0.9156729131175468,0.8764324862979571,0.896580483736447,lsvc
472,0.2,0.8664206642066421,1.0,0.9098156452416543,0.9284302095689996,svc
473,0.2,0.9982788296041308,0.9880749574105622,0.9920279023418037,0.9931506849315068,dt
474,0.2,1.0,1.0,1.0,1.0,rf
475,0.2,1.0,0.9991482112436116,0.9995017438963627,0.9995739241585002,gb
476,0.2,0.9002493765586035,0.6149914821124361,0.7349277528649726,0.7307692307692308,gnb
477,0.2,0.7758830694275274,0.5425894378194208,0.6407573492775287,0.63859649122807,bnb
478,0.2,0.8954937679769894,0.7955706984667802,0.8261086198305929,0.8425800631483986,mnb
479,0.2,0.8550619082301529,1.0,0.9008470353761834,0.9218688653317628,lstm
480,0.2,0.5849526656701545,1.0,0.5849526656701545,0.7381326626846904,cnn
